service,days_observed,base_level,monthly_growth,noise_pct,used_fallback,f1_mean,auprc_mean,cost_weighted_recall_mean,mean_mctd_mean,cost_to_detect_ratio_mean,avoided_cost_ratio_mean,alert_cost_efficiency_mean,false_alarm_rate_mean
AWS / Compute,30,156.47,0.1,0.15,False,0.3823,0.5538,0.8103,277.8097,0.241,0.759,691.6904,0.2261
AWS / Databases,30,18.5,-0.02,0.15,False,0.2504,0.5317,0.6342,12.9523,0.4429,0.5571,24.9963,0.0639
AWS / Other,30,54.04,0.1,0.15,False,0.4079,0.589,0.8003,96.7656,0.2393,0.7607,210.9458,0.1868
Oracle / Compute,30,24.67,0.1,0.15,False,0.3993,0.5707,0.8317,44.5358,0.221,0.779,126.4416,0.209
