model_name,f1_mean,f1_std,cost_weighted_recall_mean,cost_weighted_recall_std,alert_cost_efficiency_mean,alert_cost_efficiency_std,mean_mctd_mean,mean_mctd_std,cost_to_detect_ratio_mean,cost_to_detect_ratio_std,avoided_cost_ratio_mean,avoided_cost_ratio_std,n_cells,f1_rank,dollar_recall_rank,ace_rank,mctd_rank,ctdr_rank,avoided_cost_rank
Prophet,0.5798,0.082,0.9498,0.0762,104.3989,100.847,19.6602,22.64,0.0937,0.1054,0.9063,0.1054,12,1,1,4,2,1,1
IsolationForest,0.4353,0.1232,0.8765,0.1647,170.8295,176.0265,44.4981,49.7907,0.1748,0.173,0.8252,0.173,12,2,3,3,3,3,3
LSTM_AE,0.3833,0.1149,0.9076,0.1447,43.4882,39.1827,19.4729,15.6835,0.1322,0.1703,0.8678,0.1703,12,3,2,5,1,2,2
SeasonalNaiveMAD,0.2242,0.0917,0.5966,0.166,487.515,498.8216,210.6962,233.5885,0.4886,0.1381,0.5114,0.1381,12,4,4,2,4,4,4
EWMA,0.1773,0.0354,0.5154,0.0786,511.3612,555.2794,245.7518,256.1659,0.541,0.074,0.459,0.074,12,5,5,1,5,5,5
