service,year1_fpr_target,model_name,threshold_mean,threshold_std,total_alerts_mean,total_alerts_std,false_alarm_rate_mean,false_alarm_rate_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auprc_mean,auprc_std,event_recall_mean,event_recall_std,mean_detection_delay_mean,mean_detection_delay_std,cost_weighted_recall_mean,cost_weighted_recall_std,mean_mctd_mean,mean_mctd_std,cost_to_detect_ratio_mean,cost_to_detect_ratio_std,avoided_cost_ratio_mean,avoided_cost_ratio_std,alert_cost_efficiency_mean,alert_cost_efficiency_std
AWS / Compute,0.005,EWMA,2.4409681067397053,0.01598843800238953,8.666666666666666,2.8867513459481287,0.0,0.0,1.0,0.0,0.07202380952380953,0.020211817674225762,0.13393210759141042,0.03482221355769656,0.4953463548682488,0.035865381546974544,0.25925925925925924,0.06415002990995841,1.7592592592592593,0.3159022612820737,0.46094299205449696,0.08689334227989418,705.3820114446174,25.453727197095443,0.6169027821249676,0.07808716143059768,0.3830972178750324,0.07808716143059768,1705.152794149846,320.7085107686509
AWS / Compute,0.005,IsolationForest,0.1042513236183149,0.009848062678456442,52.666666666666664,16.072751268321593,0.0640543011654527,0.044937988463926486,0.7246775100941457,0.1125156057551447,0.31058201058201057,0.04466063725884542,0.43001835391948623,0.030165243082633166,0.6271084500363869,0.026322443163198272,0.8148148148148149,0.03703703703703699,1.1682978856891901,0.060518927856352635,0.9287819653244836,0.00512948883927922,151.2398412718895,18.7887706326156,0.13120345573737854,0.010817354390476106,0.8687965442626214,0.010817354390476054,586.6287721020468,187.76904718751743
AWS / Compute,0.005,LSTM_AE,0.25073677510023057,0.09827717363708258,286.6666666666667,13.316656236958778,0.7768673732082344,0.05782464163440891,0.3346484212818959,0.03280397532295813,0.8028439153439154,0.05265243998587287,0.47174350927750613,0.037242823139877416,0.3059136644937297,0.018852987518223587,0.9753086419753085,0.021383343303319487,0.37749287749287747,0.1817286441904996,0.9889037941823973,0.015326346081353439,32.06711757708268,18.675663947935107,0.027008319993747528,0.014238537651713519,0.9729916800062526,0.014238537651713509,107.33069618059005,8.916491146509898
AWS / Compute,0.005,Prophet,3.636263271927799,0.10100892154664497,92.0,20.29778313018444,0.12243853931007963,0.04707774222738434,0.6807477333793123,0.06613416541424379,0.517989417989418,0.06229695328703401,0.5846620847651776,0.029038112471807383,0.6630620637348469,0.0312333547075926,0.8888888888888888,0.03703703703703706,0.8407004830917874,0.268595422550707,0.9788663233829089,0.01154105834384839,65.42417233845244,28.68979589048142,0.05858133611049954,0.02998072529623244,0.9414186638895005,0.02998072529623245,336.9007875044504,38.621596630821884
AWS / Compute,0.005,SeasonalNaiveMAD,9.481911640742556,3.435179991179506,10.666666666666666,8.386497083606084,0.0,0.0,1.0,0.0,0.09193121693121693,0.07328746647336423,0.16265675123942838,0.12798253860212302,0.6776190356522421,0.02720803633722351,0.2839506172839506,0.21383343303319471,1.878787878787879,0.8248883387161332,0.4605361481290169,0.3148828878897674,778.103639836312,353.1301375163086,0.6631315113353761,0.2440314656531907,0.336868488664624,0.24403146565319073,1952.0024477939512,1256.165560849546
AWS / Compute,0.01,EWMA,2.3120503795098037,0.07048415519959134,11.333333333333334,2.0816659994661326,0.0013175230566534913,0.0022820168742672957,0.9722222222222222,0.048112522432468836,0.09212962962962963,0.015040589940657139,0.16800153275729005,0.025118750849473154,0.4953463548682488,0.035865381546974544,0.32098765432098764,0.042766686606638946,1.7583333333333335,0.3357206179747281,0.5115227631053304,0.057022804907779404,649.735243107728,52.451171753286424,0.5679305336755021,0.08166981382555187,0.43206946632449794,0.08166981382555186,1411.4846067231017,37.32379132501957
AWS / Compute,0.01,IsolationForest,0.09177260530988773,0.006894050822275104,70.33333333333333,15.69500982265807,0.10579079002894591,0.04309974233325292,0.6397918173780243,0.06358955375116433,0.3726851851851852,0.05054982919235736,0.46714251522652406,0.02814057010587815,0.6271084500363869,0.026322443163198272,0.839506172839506,0.04276668660663897,1.1565656565656566,0.16758242447512176,0.9497439397678132,0.022721028516279548,122.01155587588637,34.279865488839505,0.10468717602408502,0.020201890907442625,0.895312823975915,0.020201890907442625,436.54456554027496,116.65458287434595
AWS / Compute,0.01,LSTM_AE,0.21838304420312293,0.0754794975166427,297.6666666666667,6.658328118479385,0.8125653516074265,0.0397331474442908,0.32962826963500663,0.027291536663813242,0.821957671957672,0.04444680643761403,0.47018544921114597,0.03218855400847971,0.3059136644937297,0.018852987518223587,0.9753086419753085,0.021383343303319487,0.33903133903133903,0.1914192837644571,0.9889037941823973,0.015326346081353439,30.81618674229101,17.13693899889888,0.026011611993140837,0.013119151343663973,0.9739883880068593,0.013119151343664004,103.25614874541941,7.472261606329692
AWS / Compute,0.01,Prophet,2.8997353505098205,0.2719713280053937,118.66666666666667,28.023799409311604,0.21079777140485578,0.07952033901712519,0.5743784880771182,0.07030288554562243,0.5607142857142857,0.06436282852815843,0.5623861038668341,0.010910603067827504,0.6630620637348469,0.0312333547075926,0.9012345679012346,0.04276668660663897,0.7200000000000001,0.30199337741083,0.9811892429507968,0.012546590605543013,52.142026474916385,25.35043103117478,0.04674021013123467,0.025434979392830105,0.9532597898687653,0.02543497939283009,263.26719743651,37.497552140573454
AWS / Compute,0.01,SeasonalNaiveMAD,6.861964028367211,1.3928013702937931,16.666666666666668,9.018499505645789,0.0,0.0,1.0,0.0,0.142989417989418,0.08473902600292708,0.24383623230819476,0.12891673206182677,0.6776190356522421,0.02720803633722351,0.4197530864197531,0.14968340312323633,1.2833333333333334,1.1579435795121165,0.6203226432920353,0.23247693396539626,534.3436677120008,247.08792704365072,0.459863437194292,0.18844616669522596,0.540136562805708,0.18844616669522601,1243.8994870605277,295.3144697934571
AWS / Compute,0.02,EWMA,2.1056201908819894,0.13829763066583955,16.0,1.0,0.003952569169960474,0.006846050622801886,0.9411764705882352,0.10188534162169868,0.12566137566137567,0.0011455362483921126,0.22154286615472332,0.004190431775318825,0.4953463548682488,0.035865381546974544,0.43209876543209874,0.05657500857970171,1.3529914529914528,0.5656524938589926,0.6185416813347397,0.029240217733032724,512.6986661505144,65.13159266695043,0.444005588942949,0.016554319995091202,0.555994411057051,0.0165543199950912,1203.2630678319922,106.67312176024652
AWS / Compute,0.02,IsolationForest,0.07687823202616893,0.002445708644511516,110.66666666666667,12.220201853215574,0.19872000795621472,0.032973312665260934,0.5607646356033453,0.031280289509182636,0.5191137566137566,0.040822096756613156,0.5388679245283019,0.03370341609271938,0.6271084500363869,0.026322443163198272,0.9135802469135802,0.021383343303319455,0.7066666666666667,0.2571640202931455,0.9827478004531761,0.007011594989812884,47.82477951864129,17.818621246107334,0.04265307579933436,0.01974031948933542,0.9573469242006656,0.019740319489335443,277.402799460058,26.07940177851625
AWS / Compute,0.02,LSTM_AE,0.16690499941507972,0.02931975634020689,315.0,8.18535277187245,0.8561596031072889,0.041652833492893886,0.332448738650583,0.02867079177412923,0.8763888888888888,0.026192730783188185,0.4818228035657613,0.034203751871817074,0.3059136644937297,0.018852987518223587,0.9876543209876543,0.021383343303319546,0.2735042735042735,0.2122076860345991,0.9984317427965478,0.0027163011557152015,16.115430796813957,17.577963755569183,0.014143192408083533,0.015161779177994534,0.9858568075919165,0.015161779177994529,98.50645407359706,6.6347548605465585
AWS / Compute,0.02,Prophet,2.3358589605863935,0.1418379047650212,148.0,19.697715603592208,0.3086226714543459,0.054518333686856366,0.48977848074782626,0.02259471269493354,0.6052248677248677,0.042499394815347445,0.540431882951568,0.013263384886786828,0.6630620637348469,0.0312333547075926,0.9382716049382717,0.021383343303319455,0.6307692307692307,0.2850267297752801,0.9929170791604275,0.003930338516534489,35.75809359177846,13.757731580547652,0.03173917474516032,0.013647123315779008,0.9682608252548398,0.01364712331577902,209.53341640382237,11.07621271297795
AWS / Compute,0.02,SeasonalNaiveMAD,5.622556364897943,0.966685417133958,21.333333333333332,10.066445913694334,0.005270092226613965,0.009128067497069183,0.9583333333333334,0.07216878364870323,0.1706349206349206,0.07745722736485372,0.2828387393604785,0.1075167666116696,0.6776190356522421,0.02720803633722351,0.4567901234567901,0.09320783253420682,1.45,0.18027756377319953,0.6633491358590812,0.16549158889729595,462.0941172161142,200.65811543124948,0.39638193789039966,0.14481696769295732,0.6036180621096005,0.14481696769295732,1050.9694237484089,318.27621079830357
AWS / Databases,0.005,EWMA,2.723308532838365,0.187276434914273,8.666666666666666,3.055050463303893,0.001394700139470014,0.002415691502885463,0.9722222222222222,0.04811252243246882,0.06917989417989417,0.017004944468899583,0.12870506836976991,0.029040495293988847,0.4621609089438328,0.017388743523042118,0.25925925925925924,0.07407407407407407,1.2,0.7211102550927979,0.44793606731570534,0.1625697906341703,17.663479058786447,2.966168948579141,0.6095890163928142,0.14372844908290586,0.39041098360718585,0.14372844908290583,40.95471781964366,4.281988536906774
AWS / Databases,0.005,IsolationForest,0.112260089354931,0.0022479027045375364,14.333333333333334,1.5275252316519465,0.0013175230566534913,0.0022820168742672957,0.9791666666666666,0.036084391824351594,0.11779100529100528,0.014044386529105493,0.2099545739348371,0.02126865803576565,0.5366773757811493,0.025620243740752415,0.3950617283950617,0.021383343303319487,1.0242424242424242,0.45284530529024586,0.5685384649089101,0.08779635259633972,14.306195978814552,1.9913576905162733,0.48665560906426797,0.04276872159047404,0.5133443909357321,0.04276872159047406,31.275930375358644,1.8361751945044626
AWS / Databases,0.005,LSTM_AE,0.291202143679062,0.1030523521318687,90.33333333333333,13.576941236277536,0.283995509328808,0.05024038386539421,0.2287271497402403,0.055972146860089514,0.17023809523809522,0.02544947419813327,0.19391438467680164,0.032904379515798804,0.28904664852104744,0.03493509906275939,0.46913580246913583,0.09320783253420681,1.0572649572649573,0.5233931505992759,0.6575146302729219,0.1722137229418856,12.468421162747118,2.93392015413136,0.43043055680034875,0.1269828375912553,0.5695694431996513,0.12698283759125528,5.878895694513214,2.0790713761117616
AWS / Databases,0.005,Prophet,3.122208105032216,0.09265586906076394,36.333333333333336,4.0414518843273814,0.00407276741381058,0.0001160199297637359,0.9722409909909909,0.0031886475528755836,0.29543650793650794,0.016839382851364083,0.45301126658083146,0.020248661314662474,0.7667525257250118,0.051486784857742315,0.6172839506172839,0.04276668660663891,1.3263888888888888,0.7442876596923869,0.8150615381132199,0.04259330326010024,8.03529420020513,0.343629204205432,0.27556993637120947,0.032451492633880745,0.7244300636287905,0.03245149263388076,17.80840913643691,0.8448226102372838
AWS / Databases,0.005,SeasonalNaiveMAD,9.959949761414185,1.4989344687799369,8.666666666666666,5.507570547286102,0.0027122231961235047,0.0023517052704250495,0.9111111111111111,0.10183501544346309,0.06891534391534392,0.04942082886147129,0.1255930794910178,0.08392530474194759,0.6036868623872472,0.0259343232234563,0.2098765432098765,0.1402199591555623,0.8166666666666668,0.8519585279421372,0.37147643198585173,0.2630074599798419,19.53770213753676,7.654278359341009,0.6575976107379551,0.21944752012765847,0.3424023892620449,0.2194475201276585,32.617880967858916,2.2168207321354627
AWS / Databases,0.01,EWMA,2.632250163379197,0.15093797207756687,9.666666666666666,2.0816659994661326,0.001394700139470014,0.002415691502885463,0.9722222222222222,0.04811252243246882,0.07791005291005292,0.008327032135204837,0.14409616896977867,0.013628511198322384,0.4621609089438328,0.017388743523042118,0.2962962962962963,0.037037037037037035,1.6488095238095237,0.31960461330139994,0.5134853686499729,0.10462348978983221,16.308236483310893,1.5511100289145363,0.5611504658316099,0.09667336070376081,0.43884953416839007,0.09667336070376079,42.35606764380328,5.9793939733918835
AWS / Databases,0.01,IsolationForest,0.10311942393260176,0.0024481717608126675,17.666666666666668,3.214550253664318,0.004106923335593519,0.004186235208116631,0.9491228070175438,0.05002307869959032,0.14007936507936508,0.0221548013527109,0.24344657555056468,0.03303826754637452,0.5366773757811493,0.025620243740752415,0.4567901234567901,0.042766686606638946,1.2587412587412588,0.27380100630002646,0.611799911728493,0.07901405273645132,13.403954424520565,2.1353994877625557,0.45609010961641133,0.056445382404322175,0.5439098903835887,0.05644538240432215,27.633022216603347,2.4290534792728757
AWS / Databases,0.01,LSTM_AE,0.2552413311600688,0.06317361677793008,97.0,13.45362404707371,0.3045389912460263,0.04435561832891369,0.22843359649436168,0.04475068671335764,0.18425925925925926,0.030081179881314278,0.2028762584521329,0.031836329754718645,0.28904664852104744,0.03493509906275939,0.5061728395061729,0.08553337321327789,1.0282828282828282,0.2703827395269501,0.6894495881414424,0.12949791481719058,11.64089029181652,2.15105993560035,0.4012185631306011,0.09903132967084813,0.5987814368693989,0.09903132967084813,5.681754321740974,1.3452749290570931
AWS / Databases,0.01,Prophet,2.9578130271982475,0.04618892594768884,38.666666666666664,5.507570547286101,0.005467467553280594,0.002512937431044168,0.9662004662004663,0.010359200952582257,0.3119047619047619,0.02416402753593384,0.4711614595957663,0.027023662882498328,0.7667525257250118,0.051486784857742315,0.6296296296296297,0.03703703703703705,1.4106753812636166,0.5654098482730282,0.8266959931196208,0.03542320823256685,7.738509252114398,0.3633629541596164,0.26534105702373334,0.031125220141044026,0.7346589429762668,0.031125220141043988,17.030206184322953,1.0208774812758743
AWS / Databases,0.01,SeasonalNaiveMAD,7.259803692149021,1.0299366294101755,13.666666666666666,6.3508529610858835,0.004029746252776997,0.003954828940631722,0.9349206349206348,0.05641065283783127,0.10813492063492064,0.05359897880650834,0.19063779357897004,0.0830370041926105,0.6036868623872472,0.0259343232234563,0.32098765432098764,0.07709874072096787,1.4675324675324675,0.4338517685322095,0.5297577020917599,0.15362751323431714,15.669862870063303,4.655965973381923,0.5306882233431218,0.13680050834770435,0.4693117766568782,0.13680050834770435,32.28065372739967,6.128148673412068
AWS / Databases,0.02,EWMA,2.540714349886908,0.12051402433318749,9.666666666666666,2.0816659994661326,0.001394700139470014,0.002415691502885463,0.9722222222222222,0.04811252243246882,0.07791005291005292,0.008327032135204837,0.14409616896977867,0.013628511198322384,0.4621609089438328,0.017388743523042118,0.2962962962962963,0.037037037037037035,1.6488095238095237,0.31960461330139994,0.5134853686499729,0.10462348978983221,16.308236483310893,1.5511100289145363,0.5611504658316099,0.09667336070376081,0.43884953416839007,0.09667336070376079,42.35606764380328,5.9793939733918835
AWS / Databases,0.02,IsolationForest,0.08749284779742511,0.0017613421206334175,22.333333333333332,4.041451884327381,0.008222711910437682,0.004300174230037375,0.910008670878236,0.040338131443699604,0.17076719576719576,0.03315412268753281,0.2868138542814363,0.048975693382714645,0.5366773757811493,0.025620243740752415,0.5432098765432098,0.08553337321327789,1.2152777777777777,0.13871516913498724,0.6989533681270871,0.09842806659609579,10.855923816975507,1.9942380861336655,0.37423212452663246,0.09229199254133136,0.6257678754733677,0.09229199254133134,24.85999994801776,0.724577964715599
AWS / Databases,0.02,LSTM_AE,0.230502238869667,0.04889227230904618,104.66666666666667,10.01665280087781,0.33053351527324343,0.03214147148054952,0.22338350055741363,0.04822844621229961,0.19497354497354494,0.03593479836829548,0.2075835660696442,0.03955031918668535,0.28904664852104744,0.03493509906275939,0.5185185185185185,0.09799078929868854,0.9993686868686869,0.3077306701740647,0.6921064012862127,0.13203159536064654,11.50913996067085,2.020687770567763,0.3966404751117702,0.09477045843410012,0.6033595248882299,0.09477045843410006,5.256430657209743,1.1532676672453002
AWS / Databases,0.02,Prophet,2.535010985590993,0.14588981253765027,46.333333333333336,7.505553499465136,0.0121841463196488,0.003989194771629365,0.9330277881002518,0.02640555858649869,0.36137566137566135,0.046686188912308836,0.5202076887387667,0.051951311526600936,0.7667525257250118,0.051486784857742315,0.7160493827160493,0.09320783253420677,1.6134252744159865,0.7182399361646167,0.877554799208894,0.07713305350056632,6.609765749197464,1.041698699945662,0.22799021237846331,0.05152803761712261,0.7720097876215366,0.05152803761712262,15.07742374824258,0.6548076072497611
AWS / Databases,0.02,SeasonalNaiveMAD,5.638488750575308,0.7339626485390073,19.0,9.848857801796104,0.010660382697078037,0.011306105723037118,0.8821969696969697,0.07258805330144666,0.13955026455026454,0.06862708707725272,0.23486726858935203,0.09681438031799233,0.6036868623872472,0.0259343232234563,0.4074074074074074,0.09799078929868854,1.4534391534391533,0.5157785831354357,0.6158750474592535,0.1625379411640406,13.898993270671506,4.656087980632072,0.46899200487997317,0.13024520347018603,0.5310079951200268,0.130245203470186,28.182064000937405,8.444850933616141
AWS / Other,0.005,EWMA,2.6587581510863445,0.08541414054312306,13.0,2.6457513110645907,0.001394700139470014,0.002415691502885463,0.9722222222222222,0.04811252243246882,0.10727513227513226,0.030892120148341962,0.19245307371759413,0.050018780037317453,0.5419308554564809,0.011933604157310653,0.32098765432098764,0.07709874072096787,0.030303030303030304,0.0524863881081478,0.39893422471913853,0.0688745027844461,244.6101287714608,28.27146984640501,0.6049906824324688,0.06217125000589643,0.39500931756753116,0.06217125000589641,336.2135510686545,17.468891760635632
AWS / Other,0.005,IsolationForest,0.10665426671141955,0.012451845366543974,58.666666666666664,35.10460558578223,0.0679148653524287,0.07468262111331103,0.763924963924964,0.13745889656765614,0.35529100529100527,0.16010581136324667,0.45780442359877754,0.1048761335297763,0.6476955445517784,0.04605409761507257,0.8271604938271605,0.07709874072096787,0.7311594202898551,0.4228265526617159,0.9141368266297905,0.04008914718445392,48.608783496247234,26.032706235321164,0.11922883407327949,0.06034275225287052,0.8807711659267206,0.060342752252870474,206.2989585431844,93.63112946329608
AWS / Other,0.005,LSTM_AE,0.6322546388705568,0.12791695038821677,221.66666666666666,38.00438571182717,0.6262542035353179,0.08836580241264086,0.30332808708767783,0.0337797144157691,0.5673941798941798,0.136573721766972,0.39387451263644335,0.06101154488189125,0.28435500303754274,0.030454274316641952,0.8765432098765432,0.07709874072096787,0.7193169149690889,0.44433250897544474,0.9495685387643076,0.03919452554735555,34.15096621255737,19.375867310784127,0.08619218173784726,0.05139067257934765,0.9138078182621528,0.051390672579347624,47.34592224693143,5.2534397502363595
AWS / Other,0.005,Prophet,2.8325344067516123,0.28052373729318025,114.0,15.716233645501712,0.13970426776892642,0.03969108396356008,0.7009735689888362,0.06969401102892583,0.6656084656084656,0.056519880878999534,0.6812519993253185,0.046970719155351,0.792260333083457,0.034816002281812836,0.9629629629629629,0.03703703703703705,0.7039506172839506,0.18249953805429758,0.9954278124592008,0.004011914873269339,13.661357127071168,4.91313474085375,0.034174965953436526,0.013227549049297837,0.9658250340465635,0.013227549049297824,96.0710177178966,8.334254328350443
AWS / Other,0.005,SeasonalNaiveMAD,12.423709621106468,4.552300307508564,7.0,7.211102550927978,0.0,0.0,1.0,0.0,0.05919312169312169,0.059872764612859085,0.10781344639612356,0.10503483799249179,0.6788574335531438,0.030408359338110966,0.19753086419753085,0.19005931257210681,1.1666666666666667,0.7637626158259734,0.3279109416065345,0.25170305970970586,309.3128075242759,101.1341765203629,0.7585257580689978,0.21578353893108881,0.24147424193100217,0.21578353893108884,746.9655912763365,425.6275020351349
